segment_label,count,median_observed_price,median_fair_value,median_sqft_living,median_grade,median_house_age,median_lat,median_long,median_living_to_lot_ratio,median_basement_share,median_bathrooms_per_bedroom,median_relative_living_area,median_distance_to_seattle_core,median_distance_to_bellevue_core,renovated_share,over_rate,under_rate,within_rate,insufficient_rate
segment_5,5725,378510.0,371042.765625,1290.0,7.0,64.0,47.6171,-122.3,0.17497456765005087,0.0,0.5,0.8512396694214877,12.727837372713127,14.376573667076677,0.0,0.043668122270742356,0.020436681222707424,0.8064628820960699,0.12943231441048034
segment_1,4856,690000.0,686453.5,2870.0,9.0,16.0,47.61455,-122.1195,0.31601168628096454,0.0,0.75,1.0422082371419839,20.03349432339429,13.920459441057599,0.0,0.08710873146622734,0.06507413509060955,0.6929571663920923,0.15485996705107083
segment_0,4627,299950.0,297306.171875,1850.0,7.0,28.0,47.3557,-122.168,0.20204081632653062,0.0,0.625,1.0,33.1773063877377,30.676295707268054,0.0017289820618111088,0.011886751674951372,0.007996542035876377,0.855413875081046,0.12470283120812621
segment_3,4378,550000.0,552761.5,2210.0,7.0,56.0,47.63005,-122.29,0.2875532996416233,0.37218045112781956,0.5833333333333334,1.1486737667035065,11.971081242154778,13.106135633422667,0.0,0.06601187756966652,0.05481955230698949,0.7295568752855185,0.1496116948378255
segment_2,1623,440000.0,446801.875,1480.0,8.0,8.0,47.6319,-122.34,0.9778085991678225,0.0,0.8333333333333334,1.0,7.938702857095598,13.655917026826293,0.0,0.025878003696857672,0.022181146025878003,0.7985212569316081,0.1534195933456562
segment_4,744,610950.0,603475.0,2213.0,8.0,73.0,47.60365,-122.292,0.27531739195565874,0.11181709285974689,0.6666666666666666,1.1044987988643808,10.439372932914065,13.989937623262389,1.0,0.13172043010752688,0.07661290322580645,0.6276881720430108,0.1639784946236559
