price_band,count,rmse,mae,mape,median_abs_error,mean_signed_error
Q1,3823,54096.05619245306,37365.32798195135,17.53824190674145,25984.34375,-21691.333642590896
Q2,3811,54737.747499799516,37850.131596857784,10.997166770049024,27351.84375,-6205.9752812582
Q3,3766,66383.45116032443,48495.764073287304,10.755509228761353,36378.1875,-2723.003866834838
Q5,3737,228417.93065118024,144298.7431512577,12.613052772047679,90307.1875,66031.70110549906
Q4,3720,85044.90793160815,61900.204603494625,10.3609205011812,46562.15625,12609.23629032258
