segment_label,count,rmse,mae,mape,median_abs_error,mean_signed_error
segment_5,4984,83094.28575148572,56677.936645703754,15.331610167563896,40664.28125,10260.425748332163
segment_1,4104,175225.3398549245,94785.43823860868,10.590215558010051,49323.4375,14956.374977156433
segment_0,4050,50749.396264631076,34226.694984567905,11.184526565999008,23602.890625,1210.4304938271605
segment_3,3723,120946.71764277741,78180.07693728176,12.62704088466176,50783.875,7851.529336220789
segment_2,1374,75318.46059048819,50053.088689501456,10.326930757650612,34409.625,4047.40930904294
segment_4,622,219715.43837411157,114710.05277833602,14.906688586288276,67277.71875,34521.84377512058
