segment_label,within_expected_range,potentially_over_valued,potentially_under_valued,insufficient_history,count,over_rate,under_rate,within_rate,insufficient_rate
segment_5,4617,250,117,741,5725,0.043668122270742356,0.020436681222707424,0.8064628820960699,0.12943231441048034
segment_1,3365,423,316,752,4856,0.08710873146622734,0.06507413509060955,0.6929571663920923,0.15485996705107083
segment_0,3958,55,37,577,4627,0.011886751674951372,0.007996542035876377,0.855413875081046,0.12470283120812621
segment_3,3194,289,240,655,4378,0.06601187756966652,0.05481955230698949,0.7295568752855185,0.1496116948378255
segment_2,1296,42,36,249,1623,0.025878003696857672,0.022181146025878003,0.7985212569316081,0.1534195933456562
segment_4,467,98,57,122,744,0.13172043010752688,0.07661290322580645,0.6276881720430108,0.1639784946236559
