price_band,count,empirical_coverage,average_interval_width,median_interval_width
Q1,3823,0.9754119801203244,280778.4973842532,280152.5
Q2,3811,0.9813697192337969,287984.1207032275,280152.5
Q3,3766,0.9681359532660648,313284.13502389804,280152.5
Q5,3737,0.8536259031308536,597357.0145838908,635880.5
Q4,3720,0.9475806451612904,392982.5751344086,280152.5
