price_band,within_expected_range,potentially_over_valued,potentially_under_valued,insufficient_history,count,over_rate,under_rate,within_rate,insufficient_rate
Q1,3729,0,94,568,4391,0.0,0.021407424276930084,0.8492370758369392,0.1293554998861307
Q3,3646,58,62,625,4391,0.013208836255978138,0.014119790480528353,0.8303347756775222,0.1423365975859713
Q5,3190,451,96,654,4391,0.1027100888180369,0.021862901389205193,0.7264859940787975,0.14894101571396037
Q2,3740,4,67,579,4390,0.0009111617312072893,0.015261958997722095,0.8519362186788155,0.13189066059225513
Q4,3525,178,17,670,4390,0.04054669703872437,0.0038724373576309794,0.8029612756264237,0.15261958997722094
